r,g,b,label,label_int
77.85720123501571,98.55680871674468,111.93157681809107,river,1
60.82117788394385,83.61414255075968,99.62527782860174,river,1
53.66020279938626,72.1547696353871,86.0979240370597,river,1
67.53531699171462,88.10569227488577,101.25793935979462,river,1
43.36679129599162,55.35279139055445,51.40848052113238,river,1
53.28232362287988,67.0967281633985,60.31401737022484,river,1
67.29105223262032,83.7814646004804,90.8871307344688,river,1
67.57327583404991,85.07960147370979,94.23625278077662,river,1
77.45563024480788,96.07942306711406,103.30442972597052,river,1
83.0439045465024,100.78331242945556,107.60021609055966,river,1
66.8845595420215,83.56223509181237,87.96544646669835,river,1
74.24548685548898,89.9815942331785,94.5672099169366,river,1
70.6122955701232,85.38549972438669,90.21013938451244,river,1
81.60952026929395,97.70514817817003,104.4037774489222,river,1
67.18443737110644,78.46255230586492,82.65380058218463,river,1
76.56158370648318,90.9365698766975,97.23928181545044,river,1
70.51560000000003,77.73420000000003,69.53220000000006,river,1
41.87808720840695,54.26211915724843,49.13678939602885,river,1
50.40552106058765,68.09449232621303,57.82637588540936,river,1
52.604771703793055,73.4724075521703,63.88343655770488,river,1
68.76570321361096,87.19746852495136,88.25974401603492,river,1
33.94307102373538,50.22430890506744,37.94384345908713,river,1
36.619592220081685,54.77816939813255,41.22740095266117,river,1
51.79270299756467,65.13222198178157,80.54858930643825,river,1
65.4761112232812,80.28332093931718,90.79262501454149,river,1
45.50656759299927,53.670247569367845,58.13655173704501,river,1
136.86054944019682,114.17597422203649,58.43852812674883,sea,2
92.56349874366728,78.65348243784851,39.59494991339356,sea,2
84.0645415762979,70.81345182791084,39.83239868697009,sea,2
91.80254145317278,74.08353871184069,36.42151372079221,sea,2
109.86461951849708,91.1488012078018,38.96856361687811,sea,2
144.62672903362025,114.52329587312708,46.04055755732321,sea,2
159.45059839251024,125.58410174880764,59.05222685921216,sea,2
146.3443809104325,123.96503616496254,66.16910232020001,sea,2
88.84631868148563,71.49927900742982,45.31799307586528,sea,2
90.17052417594942,71.30483870223323,40.216158097069496,sea,2
96.04513842377068,77.82686620407651,39.31346313380374,sea,2
138.2577236710566,115.37781550728084,51.00293583032604,sea,2
101.94941108622132,83.88623979684901,39.20125089489373,sea,2
105.39550530097456,96.24086781561223,50.95520287288567,sea,2
102.03099304642312,89.34679245491537,43.12909191838784,sea,2
104.57466671927725,87.08651627839255,39.71763759817618,sea,2
99.37503537365588,81.0203105949706,38.996663051146015,sea,2
